$140.49,$34.29,1/4,0,0
$136.32,$30.12,2/4,0,0
$126.64,$20.44,3/4,0,0
$129.16,$22.96,4/4,0,0
$122.01,$15.81,5/4,0,0
$145.78,$39.58,6/4,0,0
$137.63,$31.43,7/4,0,0
$138.00,$31.80,8/4,0,0
$133.12,$26.92,9/4,0,0
$142.66,$36.46,10/4,0,0
$139.46,$33.26,11/4,0,0
$146.48,$40.28,12/4,0,0
$148.37,$42.17,13/4,0,0
$113.69,$7.49,14/4,0,0
$119.01,$12.81,15/4,0,0
$119.44,$13.24,16/4,0,0
$121.87,$15.67,17/4,0,0
$125.84,$19.64,18/4,0,0
$122.37,$16.17,19/4,0,0
$123.00,$16.80,20/4,0,0
$125.43,$19.23,21/4,0,0
$123.26,$17.06,22/4,0,0
$124.80,$18.60,23/4,0,0
$125.99,$19.79,24/4,0,0
$124.06,$17.86,25/4,0,0
$121.61,$15.41,26/4,0,0
$123.86,$17.66,28/4,0,0
$124.73,$18.53,29/4,0,0
$127.01,$20.81,30/4,0,0
$128.22,$22.02,2/5,0,0
$132.62,$26.42,3/5,0,0
$130.39,$24.19,5/5,0,0
$128.25,$22.05,6/5,0,0
$120.52,$14.32,8/5,0,0
$113.97,$7.77,9/5,0,0
$110.70,$4.50,10/5,0,0
$111.81,$5.61,12/5,0,0
$113.01,$6.81,13/5,0,0
$104.67,$-1.53,19/5,0,0
$97.56,$-8.64,22/5,0,0
$91.50,$-14.70,23/5,0,0
$88.10,$-18.10,24/5,0,0
$89.40,$-16.80,25/5,0,0
$90.78,$-15.42,26/5,93,60
$94.19,$-12.01,28/5,84,60
$96.65,$-9.55,1/6,88,60
$98.49,$-7.71,4/6,163,90
$99.18,$-7.02,5/6,137,120
$100.57,$-5.63,6/6,133,120
$101.37,$-4.83,16/6,58,30
$96.30,$-9.90,17/6,85,60
$98.52,$-7.68,18/6,296,130
$98.25,$-7.95,19/6,382,120
$101.08,$-5.12,20/6,233,90
$108.82,$2.62,21/6,251,80
$107.10,$0.90,23/6,400,120
$102.50,$-3.70,27/6,240,120
$107.81,$1.61,28/6,315,120
$104.36,$3.16,12/7,50,60
$73.45,$7.25,19/7,196,60
$73.61,$7.41,22/7,175,60
$71.40,$5.20,24/7,0,0
$79.01,$12.81,25/7,142,60
$80.37,$14.17,27/7,195,60
$81.61,$15.41,28/7,164,53
$86.06,$19.86,29/7,200,90
$87.22,$21.02,1/8,239,60
$87.09,$20.89,2/8,262,90
$85.75,$19.55,4/8,229,80
$77.00,$10.80,5/8,341,70
$81.64,$15.44,6/8,257,90
$76.80,$10.60,7/8,0,050
$75.58,$9.38,8/8,361,120
$84.17,$17.97,9/8,245,60
$85.59,$19.39,11/8,191,45
$89.93,$23.73,12/8,224,60
$85.28,$19.08,13/8,174,70
$84.45,$18.25,14/8,677,130
$85.03,$18.83,15/8,120,40
$84.27,$18.07,18/8,469,150
$80.72,$14.52,19/8,404,80
$82.03,$15.83,20/8,180,60
$85.17,$18.97,22/8,255,80
$98.90,$21.14,23/8,252,80
$98.72,$20.96,24/8,193,45
$101.43,$23.67,25/8,0,065
$102.42,$24.66,26/8,0,055
$103.90,$26.14,27/8,333,120
$100.96,$23.20,28/8,259,80
$96.12,$18.36,29/8,623,150
$97.87,$20.11,30/8,653,190
$90.75,$12.99,1/9,350,130
$92.95,$15.19,3/9,440,100
$85.74,$7.98,4/9,433,110
$89.40,$11.64,5/9,300,90
$91.11,$13.35,6/9,219,70
$92.08,$14.32,7/9,376,120
$100.03,$19.27,8/9,731,225
$101.03,$20.27,9/9,485,120
$104.56,$23.80,10/9,444,120
$108.30,$27.54,11/9,339,110
$109.35,$28.59,12/9,339,100
$111.95,$31.19,13/9,266,100
$110.10,$29.34,14/9,220,80
$108.44,$27.68,15/9,172,60
$110.73,$29.97,17/9,60,20
$112.30,$31.54,18/9,50,20
$113.15,$32.39,19/9,120,60
$113.09,$32.33,20/9,212,80
$113.30,$32.54,21/9,207,60
$101.34,$20.58,22/9,786,285
$102.06,$21.30,23/9,350,90
$98.11,$17.35,24/9,420,110
$81.11,$0.35,25/9,1052,280
$83.07,$2.31,26/9,479,165
$85.42,$4.66,27/9,437,125
$86.93,$3.17,28/9,966,210
$88.09,$4.33,29/9,440,155
$90.21,$6.45,30/9,210,60
